Date,Open,High,Low,Close,Adj Close,Volume,ExREuro,ExRUsd
2016-10-01,1.124341,1.125000,1.085340,1.098467,1.098467,0,-0.212,1.248
2016-11-01,1.097333,1.130199,1.052255,1.064849,1.064849,0,-0.214,1.257
2016-12-01,1.059210,1.085658,1.035518,1.054741,1.054741,0,-0.219,1.291
2017-01-01,1.052000,1.081034,1.034768,1.070859,1.070859,0,-0.228,1.318
2017-02-01,1.080264,1.082661,1.049681,1.058425,1.058425,0,-0.242,1.350
2017-03-01,1.056926,1.090489,1.050045,1.068707,1.068707,0,-0.247,1.406
2017-04-01,1.065655,1.095074,1.057038,1.086425,1.086425,0,-0.252,1.426
2017-05-01,1.090608,1.126672,1.083999,1.117169,1.117169,0,-0.262,1.432
2017-06-01,1.123823,1.144500,1.112087,1.144165,1.144165,0,-0.286,1.422
2017-07-01,1.142570,1.182466,1.131503,1.174729,1.174729,0,-0.305,1.456
2017-08-01,1.182355,1.206695,1.166698,1.189343,1.189343,0,-0.299,1.452
2017-09-01,1.191086,1.209336,1.171921,1.174164,1.174164,0,-0.308,1.453
2017-10-01,1.174164,1.188072,1.157595,1.165270,1.165270,0,-0.309,1.509
2017-11-01,1.165162,1.196043,1.155588,1.185199,1.185199,0,-0.322,1.580
2017-12-01,1.189910,1.202284,1.171893,1.200005,1.200005,0,-0.312,1.674
2018-01-01,1.200495,1.252992,1.191796,1.240957,1.240957,0,-0.324,1.839
2018-02-01,1.241742,1.255808,1.218918,1.223032,1.223032,0,-0.339,1.983
2018-03-01,1.219096,1.247816,1.215800,1.233198,1.233198,0,-0.329,2.225
2018-04-01,1.233198,1.241500,1.205604,1.212283,1.212283,0,-0.323,2.460
2018-05-01,1.208313,1.208459,1.151437,1.166725,1.166725,0,-0.317,2.514
2018-06-01,1.169331,1.184161,1.151410,1.170494,1.170494,0,-0.309,2.474
2018-07-01,1.170494,1.179078,1.157595,1.170741,1.170741,0,-0.320,2.510 
2018-08-01,1.168962,1.173300,1.130224,1.166466,1.166466,0,-0.316,2.534
2018-09-01,1.162304,1.181502,1.152764,1.162304,1.162304,0,-0.317,2.535
2018-10-01,1.160497,1.162129,1.131171,1.134636,1.134636,0,-0.312,2.606
2018-11-01,1.131388,1.149994,1.122322,1.139277,1.139277,0,-0.327,2.816
2018-12-01,1.131900,1.148488,1.127078,1.143995,1.143995,0,-0.328,2.895
2019-01-01,1.149425,1.157140,1.130582,1.148765,1.148765,0,-0.304,2.874
2019-02-01,1.145082,1.148844,1.123495,1.138019,1.138019,0,-0.296,2.790
2019-03-01,1.137255,1.143995,1.118606,1.123305,1.123305,0,-0.298,2.682
2019-04-01,1.122347,1.132503,1.112174,1.118518,1.118518,0,-0.306,2.669
2019-05-01,1.121831,1.126342,1.110951,1.113115,1.113115,0,-0.308,2.612
2019-06-01,1.119996,1.141396,1.116221,1.139095,1.139095,0,-0.326,2.455
2019-07-01,1.136364,1.136751,1.110383,1.115797,1.115797,0,-0.387,2.218
2019-08-01,1.107224,1.131299,1.098720,1.101200,1.101200,0,-0.416,2.227
2019-09-01,1.101200,1.115822,1.088767,1.094271,1.094271,0,-0.465,2.024
2019-10-01,1.089918,1.118068,1.088151,1.115449,1.115449,0,-0.422,2.056
2019-11-01,1.115611,1.119445,1.098286,1.102000,1.102000,0,-0.409,1.902
2019-12-01,1.101910,1.124101,1.100376,1.120230,1.120230,0,-0.394,1.906
2020-01-01,1.122083,1.122838,1.099324,1.102913,1.102913,0,-0.366,1.910
2020-02-01,1.109609,1.109609,1.077958,1.103000,1.103000,0,-0.382,1.717
2020-03-01,1.102809,1.149584,1.065451,1.103047,1.103047,0,-0.460,1.198
2020-04-01,1.102816,1.103753,1.072766,1.087725,1.087725,0,-0.185,1.195
2020-05-01,1.094475,1.114467,1.076751,1.111000,1.111000,0,-0.075,0.713
2020-06-01,1.111457,1.140017,1.110149,1.124720,1.124720,0,-0.200,0.496
2020-07-01,1.123368,1.190799,1.118919,1.187225,1.187225,0,-0.331,0.384
2020-08-01,1.178001,1.196516,1.170138,1.191824,1.191824,0,-0.422,0.303
2020-09-01,1.193916,1.201129,1.166494,1.170837,1.170837,0,-0.470,0.303
